Byte1: 5, Byte2: 170, Wattage: 554
Byte1: 104, Byte2: 138, Wattage: 451
Byte1: 82, Byte2: 188, Wattage: 614
Byte1: 136, Byte2: 191, Wattage: 624
Byte1: 13, Byte2: 57, Wattage: 186
Byte1: 45, Byte2: 204, Wattage: 665
Byte1: 198, Byte2: 199, Wattage: 651
Byte1: 208, Byte2: 15, Wattage: 52
Byte1: 204, Byte2: 251, Wattage: 820
Byte1: 101, Byte2: 77, Wattage: 252
Byte1: 161, Byte2: 132, Wattage: 432
Byte1: 182, Byte2: 185, Wattage: 605
Byte1: 72, Byte2: 188, Wattage: 613
Byte1: 152, Byte2: 61, Wattage: 201
Byte1: 147, Byte2: 234, Wattage: 764
Byte1: 241, Byte2: 26, Wattage: 88
Byte1: 235, Byte2: 116, Wattage: 381
Byte1: 136, Byte2: 166, Wattage: 543
Byte1: 253, Byte2: 102, Wattage: 336
Byte1: 232, Byte2: 156, Wattage: 511
Byte1: 254, Byte2: 180, Wattage: 590
Byte1: 118, Byte2: 151, Wattage: 494
Byte1: 231, Byte2: 47, Wattage: 156
Byte1: 171, Byte2: 120, Wattage: 393
Byte1: 12, Byte2: 174, Wattage: 567
Byte1: 153, Byte2: 3, Wattage: 12
Byte1: 67, Byte2: 152, Wattage: 496
Byte1: 245, Byte2: 242, Wattage: 792
Byte1: 58, Byte2: 11, Wattage: 37
Byte1: 225, Byte2: 120, Wattage: 394
Byte1: 74, Byte2: 165, Wattage: 539
Byte1: 200, Byte2: 182, Wattage: 596
Byte1: 200, Byte2: 20, Wattage: 68
Byte1: 252, Byte2: 218, Wattage: 714
Byte1: 142, Byte2: 207, Wattage: 676
Byte1: 71, Byte2: 236, Wattage: 770
Byte1: 23, Byte2: 246, Wattage: 802
Byte1: 29, Byte2: 64, Wattage: 209
Byte1: 26, Byte2: 84, Wattage: 274
Byte1: 209, Byte2: 156, Wattage: 511
Byte1: 251, Byte2: 88, Wattage: 290
Byte1: 65, Byte2: 82, Wattage: 268
Byte1: 203, Byte2: 128, Wattage: 420
Byte1: 212, Byte2: 56, Wattage: 185
Byte1: 83, Byte2: 67, Wattage: 219
Byte1: 103, Byte2: 62, Wattage: 203
Byte1: 176, Byte2: 137, Wattage: 449
Byte1: 236, Byte2: 23, Wattage: 78
Byte1: 41, Byte2: 25, Wattage: 82
Byte1: 117, Byte2: 157, Wattage: 513
Byte1: 164, Byte2: 65, Wattage: 214
Byte1: 187, Byte2: 246, Wattage: 804
Byte1: 89, Byte2: 17, Wattage: 57
Byte1: 125, Byte2: 98, Wattage: 321
Byte1: 209, Byte2: 166, Wattage: 544
Byte1: 19, Byte2: 163, Wattage: 0
Byte1: 205, Byte2: 15, Wattage: 51
Byte1: 152, Byte2: 213, Wattage: 696
Byte1: 42, Byte2: 118, Wattage: 385
Byte1: 91, Byte2: 34, Wattage: 112
Byte1: 51, Byte2: 186, Wattage: 607
Byte1: 124, Byte2: 100, Wattage: 327
Byte1: 93, Byte2: 252, Wattage: 822
Byte1: 235, Byte2: 43, Wattage: 143
Byte1: 64, Byte2: 129, Wattage: 421
Byte1: 0, Byte2: 24, Wattage: 78
Byte1: 231, Byte2: 130, Wattage: 427
Byte1: 31, Byte2: 167, Wattage: 545
Byte1: 204, Byte2: 30, Wattage: 100
Byte1: 35, Byte2: 254, Wattage: 828
Byte1: 55, Byte2: 195, Wattage: 636
Byte1: 28, Byte2: 164, Wattage: 535
Byte1: 247, Byte2: 197, Wattage: 645
Byte1: 87, Byte2: 123, Wattage: 402
Byte1: 71, Byte2: 50, Wattage: 164
Byte1: 100, Byte2: 100, Wattage: 327
Byte1: 254, Byte2: 139, Wattage: 456
Byte1: 108, Byte2: 208, Wattage: 679
Byte1: 124, Byte2: 11, Wattage: 37
Byte1: 213, Byte2: 240, Wattage: 785
Byte1: 119, Byte2: 238, Wattage: 777
Byte1: 109, Byte2: 36, Wattage: 119
Byte1: 134, Byte2: 12, Wattage: 0
Byte1: 227, Byte2: 90, Wattage: 296
Byte1: 28, Byte2: 238, Wattage: 776
Byte1: 50, Byte2: 137, Wattage: 447
Byte1: 30, Byte2: 79, Wattage: 258
Byte1: 156, Byte2: 220, Wattage: 719
Byte1: 222, Byte2: 89, Wattage: 293
Byte1: 54, Byte2: 31, Wattage: 102
Byte1: 7, Byte2: 120, Wattage: 391
Byte1: 50, Byte2: 182, Wattage: 594
Byte1: 43, Byte2: 125, Wattage: 408
Byte1: 1, Byte2: 40, Wattage: 130
Byte1: 171, Byte2: 141, Wattage: 462
Byte1: 85, Byte2: 80, Wattage: 262
Byte1: 144, Byte2: 243, Wattage: 794
Byte1: 59, Byte2: 38, Wattage: 125
Byte1: 230, Byte2: 68, Wattage: 224
Byte1: 166, Byte2: 195, Wattage: 637
Byte1: 67, Byte2: 109, Wattage: 356
Byte1: 238, Byte2: 79, Wattage: 260
Byte1: 212, Byte2: 162, Wattage: 531
Byte1: 173, Byte2: 200, Wattage: 654
Byte1: 212, Byte2: 95, Wattage: 312
Byte1: 250, Byte2: 82, Wattage: 270
Byte1: 29, Byte2: 216, Wattage: 704
Byte1: 230, Byte2: 102, Wattage: 335
Byte1: 211, Byte2: 191, Wattage: 625
Byte1: 37, Byte2: 150, Wattage: 489
Byte1: 35, Byte2: 40, Wattage: 131
Byte1: 148, Byte2: 250, Wattage: 816
Byte1: 215, Byte2: 159, Wattage: 521
Byte1: 228, Byte2: 167, Wattage: 547
